SEQ	Species	ProteinID	Chromosome	Start	Stop	gain-loss?	GeneID	Gene	CommonName	Order
SEQ	vulpes_vulpes	ENSVVUP00000009823	NBDQ01000015.1	21987462	22069926	-1	ENSVVUG00000007255	NULL	red_fox	carnivora
SEQ	lynx_canadensis	ENSLCNP00005010717	A2	164323093	164392016	1	ENSLCNG00005006927	NULL	canadian_lynx	carnivora
SEQ	zalophus_californianus	ENSZCAP00015034929	12	102186408	102330102	1	ENSZCAG00015021856	NULL	cali_sea_lion	carnivora
SEQ	delphinapterus_leucas	ENSDLEP00000021925	ML702082.1	4682383	4743888	-1	ENSDLEG00000015872	ACTR3B	beluga_whale	cetacea
SEQ	pteropus_vampyrus	ENSPVAP00000016493	GeneScaffold_1545	4710	45579	1	ENSPVAG00000017484	NULL	large_flying_fox	chiroptera
SEQ	dasypus_novemcinctus	ENSDNOP00000031779	JH568431.1	740635	886161	-1	ENSDNOG00000019288	NULL	nine_banded_armadillo	cingulata
SEQ	procavia_capensis	ENSPCAP00000012943	scaffold_84622	3612	7766	1	ENSPCAG00000013907	NULL	cape_rock_hyrax	hyracoidea
SEQ	ochotona_princeps	ENSOPRP00000012994	scaffold_38768	6291	10441	1	ENSOPRG00000014246	NULL	american_pika	lagomorpha
SEQ	ochotona_princeps	ENSOPRP00000015880	GeneScaffold_2802	22064	34432	1	ENSOPRG00000019164	NULL	american_pika	lagomorpha
SEQ	oryctolagus_cuniculus	ENSOCUP00000000402	13	14087707	14206824	1	ENSOCUG00000000459	ACTR3B	rabbit	lagomorpha
SEQ	equus_caballus	ENSECAP00000045413	4	104174018	104254121	1	ENSECAG00000010097	NULL	domestic_horse	perissodactyla
SEQ	equus_asinus_asinus	ENSEASP00005002172	PSZQ01006021.1	5075062	5155114	-1	ENSEASG00005001705	NULL	donkey	perissodactyla
SEQ	choloepus_hoffmanni	ENSCHOP00000009980	GeneScaffold_3347	4182	16487	1	ENSCHOG00000011282	NULL	Hoffmanns_two_fingered_sloth	pilosa
SEQ	choloepus_hoffmanni	ENSCHOP00000006840	GeneScaffold_1685	11972	17662	-1	ENSCHOG00000007730	NULL	Hoffmanns_two_fingered_sloth	pilosa
SEQ	pan_troglodytes	ENSPTRP00000034079	7	156880069	156975683	1	ENSPTRG00000019897	ACTR3B	chimpanzee	primates
SEQ	papio_anubis	ENSPANP00000043102	3	174890187	174993886	1	ENSPANG00000006816	ACTR3B	olive_baboon	primates
SEQ	pan_troglodytes	ENSPTRP00000064447	7	154675869	154716295	-1	ENSPTRG00000046242	ACTR3C	chimpanzee	primates
SEQ	cercocebus_atys	ENSCATP00000042651	KQ012797.1	10077722	10177033	1	ENSCATG00000043872	ACTR3B	sooty_mangabey	primates
SEQ	carlito_syrichta	ENSTSYP00000022385	KE946078.1	394941	477540	-1	ENSTSYG00000034885	ACTR3B	philippine_tarsier	primates
SEQ	macaca_fascicularis	ENSMFAP00000036679	3	185510231	185587227	1	ENSMFAG00000034566	ACTR3B	crab_eating_macaque	primates
SEQ	gorilla_gorilla	ENSGGOP00000028592	7	149886539	149925000	-1	ENSGGOG00000034843	NULL	gorilla	primates
SEQ	nomascus_leucogenys	ENSNLEP00000019024	GL397768.1	11613	55667	1	ENSNLEG00000015688	NULL	gibbon	primates
SEQ	aotus_nancymaae	ENSANAP00000031267	KZ203894.1	649234	735390	-1	ENSANAG00000033359	ACTR3B	mas_night_monkey	primates
SEQ	callithrix_jacchus	ENSCJAP00000052521	NTIC01002224.1	91240137	91340422	-1	ENSCJAG00000019650	ACTR3B	white_tufted_ear_marmoset	primates
SEQ	gorilla_gorilla	ENSGGOP00000027411	4	114336712	114339373	1	ENSGGOG00000023500	NULL	gorilla	primates
SEQ	mandrillus_leucophaeus	ENSMLEP00000018298	KN974827.1	590709	673416	-1	ENSMLEG00000033289	ACTR3B	drill	primates
SEQ	loxodonta_africana	ENSLAFP00000019065	scaffold_12	62218572	62294701	1	ENSLAFG00000007220	NULL	african_savanna_elephant	proboscidea
SEQ	peromyscus_maniculatus_bairdii	ENSPEMP00000020371	3	63104753	63199119	1	ENSPEMG00000018361	Actr3b	prairie_deer_mouse	rodentia
SEQ	nannospalax_galili	ENSNGAP00000023807	KL203302.1	2208627	2302229	1	ENSNGAG00000022250	Actr3b	upper_galilee_mountains_blind_mole_rat	rodentia
SEQ	mus_spicilegus	ENSMSIP00000017951	QGOO01000332.1	56900	108583	-1	ENSMSIG00000015155	Actr3b	steppe_mouse	rodentia
SEQ	mus_musculus	ENSMUSP00000085578	5	25760026	25850342	1	ENSMUSG00000056367	Actr3b	house_mouse	rodentia
SEQ	chinchilla_lanigera	ENSCLAP00000003205	JH721951.1	6686420	6742099	1	ENSCLAG00000002298	ACTR3B	long_tailed_chinchilla	rodentia
SEQ	rattus_norvegicus	ENSRNOP00000041576	4	5644260	5672708	1	ENSRNOG00000031855	Actr3b	norway_rat	rodentia
SEQ	cavia_aperea	ENSCAPP00000011984	AVPZ01000256.1	1970239	2011476	1	ENSCAPG00000012925	ACTR3B	brazilian_guinea_pig	rodentia
SEQ	castor_canadensis	ENSCCNP00000019314	MTKA01002209.1	8182	13529	1	ENSCCNG00000019444	NULL	american_beaver	rodentia
SEQ	castor_canadensis	ENSCCNP00000028566	MTKA01001459.1	225666	235933	1	ENSCCNG00000027502	NULL	american_beaver	rodentia
SEQ	octodon_degus	ENSODEP00000013508	JH651542.1	4173193	4209698	-1	ENSODEG00000009981	ACTR3B	degu	rodentia
SEQ	tupaia_belangeri	ENSTBEP00000010052	scaffold_122680	8583	21904	1	ENSTBEG00000011647	ACTR3C	nothern_tree_shrew	scandentia
