SEQ	Species	ProteinID	Chromosome	Start	Stop	gain-loss?	GeneID	Gene	CommonName
SEQ	macaca_fascicularis	ENSMFAP00000031840	10	68864956	68888803	1	ENSMFAG00000036980	MANBAL	crab_eating_macaque
SEQ	gorilla_gorilla	ENSGGOP00000023272	20	35994212	36021808	1	ENSGGOG00000022642	MANBAL	gorilla
SEQ	sus_scrofa	ENSSSCP00000017639	18	34154379	34154717	-1	ENSSSCG00000016651	NULL	wild_boar
SEQ	nannospalax_galili	ENSNGAP00000004191	KL204949.1	627480	668109	-1	ENSNGAG00000005363	Manbal	upper_galilee_mountains_blind_mole_rat
SEQ	nomascus_leucogenys	ENSNLEP00000039991	9	87594622	87597412	1	ENSNLEG00000032680	NULL	gibbon
SEQ	moschus_moschiferus	ENSMMSP00000007502	PVHU021072394.1	7623170	7639338	-1	ENSMMSG00000005848	MANBAL	siberian_musk_deer
SEQ	canis_lupus_familiaris	ENSCAFP00000012864	26	9823398	9823589	1	ENSCAFG00000008748	MANBAL	domestic_dog
SEQ	echinops_telfairi	ENSETEP00000014209	scaffold_249322	8129	8278	-1	ENSETEG00000017494	MANBAL	lesser_hedgehog_tenrec
SEQ	aotus_nancymaae	ENSANAP00000024189	KZ204317.1	16814936	16828126	1	ENSANAG00000029828	NULL	mas_night_monkey
SEQ	macaca_fascicularis	ENSMFAP00000013621	5	102055216	102055473	1	ENSMFAG00000029454	NULL	crab_eating_macaque
SEQ	dasypus_novemcinctus	ENSDNOP00000033231	JH569585.1	344416	393707	-1	ENSDNOG00000040149	MANBAL	nine_banded_armadillo
SEQ	mandrillus_leucophaeus	ENSMLEP00000027830	KN973541.1	4487181	4507751	-1	ENSMLEG00000038134	MANBAL	drill
SEQ	gorilla_gorilla	ENSGGOP00000013096	4	114103812	114106290	1	ENSGGOG00000013429	NULL	gorilla
SEQ	sorex_araneus	ENSSARP00000006777	GeneScaffold_1163	29	6536	1	ENSSARG00000007488	MANBAL	european_shrew
SEQ	camelus_dromedarius	ENSCDRP00005027324	19	25633444	25657101	1	ENSCDRG00005018814	MANBAL	arabian_camel
SEQ	canis_lupus_dingo	ENSCAFP00020015544	QKWQ01002044.1	26018597	26038861	1	ENSCAFG00020012487	NULL	dingo
SEQ	bison_bison_bison	ENSBBBP00000006059	KN265192.1	6601948	6620158	-1	ENSBBBG00000014665	MANBAL	american_bison
SEQ	panthera_leo	ENSPLOP00000002793	B1	115699722	115716065	1	ENSPLOG00000002001	MANBAL	lion
SEQ	carlito_syrichta	ENSTSYP00000029995	KE948774.1	375175	391416	-1	ENSTSYG00000027506	MANBAL	philippine_tarsier
SEQ	zalophus_californianus	ENSZCAP00015030234	8	118070929	118089932	1	ENSZCAG00015019083	MANBAL	cali_sea_lion
SEQ	canis_lupus_familiaris	ENSCAFP00000057298	24	25921936	25947376	1	ENSCAFG00000045814	NULL	domestic_dog
SEQ	octodon_degus	ENSODEP00000018920	JH651552.1	7937550	7952993	1	ENSODEG00000013949	MANBAL	degu
SEQ	chinchilla_lanigera	ENSCLAP00000024902	JH721882.1	24429608	24455870	-1	ENSCLAG00000017093	MANBAL	long_tailed_chinchilla
SEQ	cercocebus_atys	ENSCATP00000036749	KQ012663.1	31574276	31597081	1	ENSCATG00000041164	MANBAL	sooty_mangabey
SEQ	pteropus_vampyrus	ENSPVAP00000016774	GeneScaffold_427	194274	206780	1	ENSPVAG00000017783	MANBAL	large_flying_fox
SEQ	rattus_norvegicus	ENSRNOP00000050480	3	153491151	153520735	1	ENSRNOG00000031453	Manbal	norway_rat
SEQ	canis_lupus_dingo	ENSCAFP00020022212	QKWQ01000714.1	10052556	10052747	1	ENSCAFG00020017564	NULL	dingo
SEQ	moschus_moschiferus	ENSMMSP00000015733	PVHU020001083.1	823580	824674	1	ENSMMSG00000011974	NULL	siberian_musk_deer
SEQ	felis_catus	ENSFCAP00000019704	A3	22495761	22522293	-1	ENSFCAG00000027900	MANBAL	domestic_cat
SEQ	oryctolagus_cuniculus	ENSOCUP00000038456	4	2869046	2881481	-1	ENSOCUG00000035486	MANBAL	rabbit
SEQ	choloepus_hoffmanni	ENSCHOP00000011963	GeneScaffold_1345	10502	11324	1	ENSCHOG00000013515	NULL	Hoffmanns_two_fingered_sloth
SEQ	cervus_hanglu_yarkandensis	ENSCHYP00000030708	23	62639497	62654341	1	ENSCHYG00000020565	MANBAL	central_asian_red_deer
SEQ	nomascus_leucogenys	ENSNLEP00000007616	13	27529717	27558283	-1	ENSNLEG00000006269	MANBAL	gibbon
SEQ	mus_musculus	ENSMUSP00000079965	2	157367594	157396763	1	ENSMUSG00000063019	Manbal	house_mouse
SEQ	papio_anubis	ENSPANP00000017767	10	26997088	27011912	-1	ENSPANG00000009619	MANBAL	olive_baboon
SEQ	vulpes_vulpes	ENSVVUP00000041151	NBDQ01000080.1	5281281	5281448	-1	ENSVVUG00000029299	MANBAL	red_fox
SEQ	lynx_canadensis	ENSLCNP00005001426	A3	21875802	21902291	-1	ENSLCNG00005001014	MANBAL	canadian_lynx
SEQ	aotus_nancymaae	ENSANAP00000006471	KZ199601.1	8541	9575	1	ENSANAG00000021319	NULL	mas_night_monkey
SEQ	ailuropoda_melanoleuca	ENSAMEP00000012978	GL192420.1	2599477	2612141	-1	ENSAMEG00000012334	MANBAL	giant_panda
SEQ	panthera_pardus	ENSPPRP00000007770	KV860304.1	17889064	17917298	-1	ENSPPRG00000002796	MANBAL	leopard
SEQ	peromyscus_maniculatus_bairdii	ENSPEMP00000033356	4	132187710	132204027	1	ENSPEMG00000030801	Manbal	prairie_deer_mouse
SEQ	castor_canadensis	ENSCCNP00000009494	MTKA01000368.1	494282	507750	-1	ENSCCNG00000010009	Manbal	american_beaver
