SEQ	Species	ProteinID	Chromosome	Start	Stop	gain-loss?	GeneID	Gene	CommonName	Order
SEQ	equus_asinus_asinus	ENSEASP00005005834	PSZQ01003998.1	11504078	11595372	1	ENSEASG00005003955	FAM135A	donkey	perissodactyla
SEQ	choloepus_hoffmanni	ENSCHOP00000010063	GeneScaffold_904	665	61794	1	ENSCHOG00000011346	FAM135A	Hoffmanns_two_fingered_sloth	pilosa
SEQ	callithrix_jacchus	ENSCJAP00000006807	NTIC01022223.1	99836144	99972946	-1	ENSCJAG00000003701	FAM135A	white_tufted_ear_marmoset	primates
SEQ	mandrillus_leucophaeus	ENSMLEP00000031239	KN979261.1	451964	578183	-1	ENSMLEG00000039628	FAM135A	drill	primates
SEQ	gorilla_gorilla	ENSGGOP00000004699	6	72340609	72469257	1	ENSGGOG00000004791	FAM135A	gorilla	primates
SEQ	papio_anubis	ENSPANP00000032005	4	66527430	66645795	1	ENSPANG00000000816	FAM135A	olive_baboon	primates
SEQ	nomascus_leucogenys	ENSNLEP00000041047	3	60722637	60875313	-1	ENSNLEG00000000844	FAM135A	gibbon	primates
SEQ	macaca_fascicularis	ENSMFAP00000004629	4	103329518	103463539	-1	ENSMFAG00000002013	FAM135A	crab_eating_macaque	primates
SEQ	pan_troglodytes	ENSPTRP00000083117	6	73072317	73203881	1	ENSPTRG00000018330	FAM135A	chimpanzee	primates
SEQ	carlito_syrichta	ENSTSYP00000027916	KE941236.1	615686	740393	1	ENSTSYG00000003628	FAM135A	philippine_tarsier	primates
SEQ	cercocebus_atys	ENSCATP00000016639	KQ009853.1	4547265	4681654	1	ENSCATG00000032192	FAM135A	sooty_mangabey	primates
SEQ	aotus_nancymaae	ENSANAP00000010867	KZ198867.1	4090115	4218860	1	ENSANAG00000023274	FAM135A	mas_night_monkey	primates
SEQ	loxodonta_africana	ENSLAFP00000013074	scaffold_0	95415538	95520258	-1	ENSLAFG00000015601	FAM135A	african_savanna_elephant	proboscidea
SEQ	mus_spicilegus	ENSMSIP00000034527	QGOO01037452.1	1066172	1142969	-1	ENSMSIG00000028791	Fam135a	steppe_mouse	rodentia
SEQ	chinchilla_lanigera	ENSCLAP00000000618	JH721948.1	5531088	5614991	1	ENSCLAG00000000497	FAM135A	long_tailed_chinchilla	rodentia
SEQ	peromyscus_maniculatus_bairdii	ENSPEMP00000022871	21	50153509	50217512	1	ENSPEMG00000020097	Fam135a	prairie_deer_mouse	rodentia
SEQ	castor_canadensis	ENSCCNP00000020381	MTKA01002369.1	59067	164716	-1	ENSCCNG00000020278	Fam135a	american_beaver	rodentia
SEQ	cavia_aperea	ENSCAPP00000018364	AVPZ01000445.1	55441425	55445966	-1	ENSCAPG00000017779	NULL	brazilian_guinea_pig	rodentia
SEQ	mus_musculus	ENSMUSP00000027337	1	24011681	24100333	-1	ENSMUSG00000026153	Fam135a	house_mouse	rodentia
SEQ	rattus_norvegicus	ENSRNOP00000018234	9	30255459	30321323	-1	ENSRNOG00000013587	Fam135a	norway_rat	rodentia
SEQ	octodon_degus	ENSODEP00000006609	JH651576.1	11072851	11171158	-1	ENSODEG00000004939	FAM135A	degu	rodentia
SEQ	nannospalax_galili	ENSNGAP00000012751	KL205004.1	6374055	6457760	1	ENSNGAG00000014492	Fam135a	upper_galilee_mountains_blind_mole_rat	rodentia
SEQ	tupaia_belangeri	ENSTBEP00000002700	GeneScaffold_925	106682	259635	1	ENSTBEG00000003109	FAM135A	nothern_tree_shrew	scandentia
