SEQ	Species	ProteinID	Chromosome	Start	Stop	gain-loss?	GeneID	Gene	CommonName	Order
SEQ	delphinapterus_leucas	ENSDLEP00000005204	ML702016.1	15665364	15669994	1	ENSDLEG00000003919	ACTC1	beluga_whale	cetacea
SEQ	pteropus_vampyrus	ENSPVAP00000004549	GeneScaffold_2481	6594	9694	-1	ENSPVAG00000004807	ACTC1	large_flying_fox	chiroptera
SEQ	dasypus_novemcinctus	ENSDNOP00000012068	JH566301.1	2052492	2058541	-1	ENSDNOG00000015570	ACTC1	nine_banded_armadillo	cingulata
SEQ	sorex_araneus	ENSSARP00000002240	GeneScaffold_3194	6811	8154	-1	ENSSARG00000002488	NULL	european_shrew	eulipotyphyla
SEQ	erinaceus_europaeus	ENSEEUP00000003544	GeneScaffold_5726	28752	31890	-1	ENSEEUG00000003913	ACTC1	western_european_hedgehog	eulipotyphyla
SEQ	sorex_araneus	ENSSARP00000008478	scaffold_256238	4299	7657	1	ENSSARG00000009386	ACTC1	european_shrew	eulipotyphyla
SEQ	procavia_capensis	ENSPCAP00000003604	scaffold_15802	16332	20687	-1	ENSPCAG00000003845	ACTC1	cape_rock_hyrax	hyracoidea
SEQ	oryctolagus_cuniculus	ENSOCUP00000006542	17	37529471	37534005	1	ENSOCUG00000004074	ACTC1	rabbit	lagomorpha
SEQ	ochotona_princeps	ENSOPRP00000015051	GeneScaffold_3294	111579	115812	-1	ENSOPRG00000016486	ACTC1	american_pika	lagomorpha
SEQ	equus_caballus	ENSECAP00000039369	1	154652327	154658140	1	ENSECAG00000013022	ACTC1	domestic_horse	perissodactyla
SEQ	equus_asinus_asinus	ENSEASP00005024671	PSZQ01003353.1	7647986	7653137	1	ENSEASG00005016768	ACTC1	donkey	perissodactyla
SEQ	choloepus_hoffmanni	ENSCHOP00000004751	GeneScaffold_4215	15183	17132	-1	ENSCHOG00000005357	NULL	Hoffmanns_two_fingered_sloth	pilosa
SEQ	carlito_syrichta	ENSTSYP00000011042	KE944009.1	529782	534369	-1	ENSTSYG00000012045	ACTC1	philippine_tarsier	primates
SEQ	cercocebus_atys	ENSCATP00000017430	KQ012270.1	378419	382987	-1	ENSCATG00000032589	ACTC1	sooty_mangabey	primates
SEQ	nomascus_leucogenys	ENSNLEP00000013571	6	66068740	66074107	1	ENSNLEG00000011150	ACTC1	gibbon	primates
SEQ	mandrillus_leucophaeus	ENSMLEP00000024390	KN976431.1	298933	304890	-1	ENSMLEG00000036332	ACTC1	drill	primates
SEQ	macaca_fascicularis	ENSMFAP00000044609	7	11559511	11564906	-1	ENSMFAG00000039604	ACTC1	crab_eating_macaque	primates
SEQ	aotus_nancymaae	ENSANAP00000029265	KZ202280.1	4873993	4882142	1	ENSANAG00000032360	ACTC1	mas_night_monkey	primates
SEQ	papio_anubis	ENSPANP00000016280	7	9355306	9388040	-1	ENSPANG00000019679	ACTC1	olive_baboon	primates
SEQ	pan_troglodytes	ENSPTRP00000011770	15	15061825	15067726	-1	ENSPTRG00000006890	ACTC1	chimpanzee	primates
SEQ	gorilla_gorilla	ENSGGOP00000011310	15	12618811	12624335	-1	ENSGGOG00000023984	ACTC1	gorilla	primates
SEQ	loxodonta_africana	ENSLAFP00000017882	scaffold_64	3884241	3888700	-1	ENSLAFG00000021518	ACTC1	african_savanna_elephant	proboscidea
SEQ	nannospalax_galili	ENSNGAP00000000722	KL202157.1	2298888	2305019	-1	ENSNGAG00000000554	Actc1	upper_galilee_mountains_blind_mole_rat	rodentia
SEQ	chinchilla_lanigera	ENSCLAP00000008901	JH721876.1	2137101	2145416	-1	ENSCLAG00000006212	ACTC1	long_tailed_chinchilla	rodentia
SEQ	mus_musculus	ENSMUSP00000087736	2	114047282	114052887	-1	ENSMUSG00000068614	Actc1	house_mouse	rodentia
SEQ	octodon_degus	ENSODEP00000004327	JH651681.1	3824063	3828762	1	ENSODEG00000003301	ACTC1	degu	rodentia
SEQ	rattus_norvegicus	ENSRNOP00000011773	3	105507403	105512939	-1	ENSRNOG00000008536	Actc1	norway_rat	rodentia
SEQ	cavia_aperea	ENSCAPP00000015719	AVPZ01000012.1	20660832	20664337	-1	ENSCAPG00000015765	ACTC1	brazilian_guinea_pig	rodentia
SEQ	peromyscus_maniculatus_bairdii	ENSPEMP00000015077	4	87589132	87593584	-1	ENSPEMG00000014707	Actc1	prairie_deer_mouse	rodentia
SEQ	castor_canadensis	ENSCCNP00000023850	MTKA01000470.1	105123	109306	-1	ENSCCNG00000023398	Actc1	american_beaver	rodentia
SEQ	mus_spicilegus	ENSMSIP00000001326	QGOO01000211.1	928016	932764	-1	ENSMSIG00000001306	Actc1	steppe_mouse	rodentia
SEQ	tupaia_belangeri	ENSTBEP00000007811	GeneScaffold_2397	15040	18160	-1	ENSTBEG00000009018	NULL	nothern_tree_shrew	scandentia
